date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:01:18	2189/2189	---M--	200	added ('OK')	text/plain	etag:%2288d-586bf9ee16380%22	http://institutomisionerosmonfortianos.drelm.edu.pe/robots.txt		(from )
20:01:20	46357/46357	---MC-	200	added ('OK')	text/html	date:Thu,%2001%20Dec%202022%2001:02:21%20GMT	http://institutomisionerosmonfortianos.drelm.edu.pe/	C:/My%20Web%20Sites/proye/institutomisionerosmonfortianos.drelm.edu.pe/index.html	(from )
20:01:21	3742/3742	---M-Z	200	added ('OK')	text/css	etag:%224d4-58801c51304ad%22	http://institutomisionerosmonfortianos.drelm.edu.pe/sites/institutomisionerosmonfortianos.drelm.edu.pe/files/css/css_rEI_5cK_B9hB4So2yZUtr5weuEV3heuAllCDE6XsIkI.css	C:/My%20Web%20Sites/proye/institutomisionerosmonfortianos.drelm.edu.pe/sites/institutomisionerosmonfortianos.drelm.edu.pe/files/css/css_rEI_5cK_B9hB4So2yZUtr5weuEV3heuAllCDE6XsIkI.css	(from http://institutomisionerosmonfortianos.drelm.edu.pe/)
20:01:22	53561/53561	---M--	200	added ('OK')	image/png	etag:%22d139-570bf0adbee52%22	http://institutomisionerosmonfortianos.drelm.edu.pe/sites/institutomisionerosmonfortianos.drelm.edu.pe/files/Logo_01.png	C:/My%20Web%20Sites/proye/institutomisionerosmonfortianos.drelm.edu.pe/sites/institutomisionerosmonfortianos.drelm.edu.pe/files/Logo_01.png	(from http://institutomisionerosmonfortianos.drelm.edu.pe/)
20:01:23	2596/2596	---M-Z	200	added ('OK')	text/css	etag:%2235e-58801c64815a6%22	http://institutomisionerosmonfortianos.drelm.edu.pe/sites/institutomisionerosmonfortianos.drelm.edu.pe/files/css/css_0KmE5xu3MSsDGDxdTlR-3Qyc9lxPjzHPT0JF5xDtHu4.css	C:/My%20Web%20Sites/proye/institutomisionerosmonfortianos.drelm.edu.pe/sites/institutomisionerosmonfortianos.drelm.edu.pe/files/css/css_0KmE5xu3MSsDGDxdTlR-3Qyc9lxPjzHPT0JF5xDtHu4.css	(from http://institutomisionerosmonfortianos.drelm.edu.pe/)
20:01:23	2829/2829	---M-Z	200	added ('OK')	text/css	etag:%222a7-58801c5133b5d%22	http://institutomisionerosmonfortianos.drelm.edu.pe/sites/institutomisionerosmonfortianos.drelm.edu.pe/files/css/css_B74t25U4uCtxYIAD4AMsaIUJJ9nga7VP-iFwc6-oWtU.css	C:/My%20Web%20Sites/proye/institutomisionerosmonfortianos.drelm.edu.pe/sites/institutomisionerosmonfortianos.drelm.edu.pe/files/css/css_B74t25U4uCtxYIAD4AMsaIUJJ9nga7VP-iFwc6-oWtU.css	(from http://institutomisionerosmonfortianos.drelm.edu.pe/)
20:01:25	26711/26711	---M-Z	200	added ('OK')	text/css	etag:%225eb03e5f-6857%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.4.0/css/font-awesome.min.css	C:/My%20Web%20Sites/proye/cdnjs.cloudflare.com/ajax/libs/font-awesome/4.4.0/css/font-awesome.min.css	(from http://institutomisionerosmonfortianos.drelm.edu.pe/)
20:01:26	345960/345960	---M-Z	200	added ('OK')	text/css	etag:%22ccbd-58801c51450b5%22	http://institutomisionerosmonfortianos.drelm.edu.pe/sites/institutomisionerosmonfortianos.drelm.edu.pe/files/css/css_agP3ke4zlCZeyGVdqdAjnkvDuRkmTes0MWxFcRkJkUs.css	C:/My%20Web%20Sites/proye/institutomisionerosmonfortianos.drelm.edu.pe/sites/institutomisionerosmonfortianos.drelm.edu.pe/files/css/css_agP3ke4zlCZeyGVdqdAjnkvDuRkmTes0MWxFcRkJkUs.css	(from http://institutomisionerosmonfortianos.drelm.edu.pe/)
20:01:27	113099/113099	---M-Z	200	added ('OK')	text/css	etag:%223200-58801c514be15%22	http://institutomisionerosmonfortianos.drelm.edu.pe/sites/institutomisionerosmonfortianos.drelm.edu.pe/files/css/css_CFc68OHR427oxxLBnFJYf2tfn6RNngSfex72A1FhrsM.css	C:/My%20Web%20Sites/proye/institutomisionerosmonfortianos.drelm.edu.pe/sites/institutomisionerosmonfortianos.drelm.edu.pe/files/css/css_CFc68OHR427oxxLBnFJYf2tfn6RNngSfex72A1FhrsM.css	(from http://institutomisionerosmonfortianos.drelm.edu.pe/)
20:01:28	982/982	---M-Z	200	added ('OK')	text/css	etag:%22170-58801c514e13d%22	http://institutomisionerosmonfortianos.drelm.edu.pe/sites/institutomisionerosmonfortianos.drelm.edu.pe/files/css/css_pXEl-41g3XH_TNADyXf8JdLDLHFURJQYyjUJBHlWboQ.css	C:/My%20Web%20Sites/proye/institutomisionerosmonfortianos.drelm.edu.pe/sites/institutomisionerosmonfortianos.drelm.edu.pe/files/css/css_pXEl-41g3XH_TNADyXf8JdLDLHFURJQYyjUJBHlWboQ.css	(from http://institutomisionerosmonfortianos.drelm.edu.pe/)
